a-vorto; adjective
makedono; Macedonian <g>pers</g>
makiavela; Machiavellian
makleraĵo; commission, brokerage
makleri; act as a middleman, broker
makleristo; broker <g>pers</g>, agent
maklero; broker <g>pers</g>
makrocefaledoj; sperm whale
makropedoj; kangaroos
makropo; kangaroo, macropus
maksimigi; maximize
maksimo; maxim, principle
maksimuma; maximal, maximum
maksimume; at most
maksimumiganto; point of maximum
maksimumigi; maximize
maksimumo; maximum
makula; spotted, spotty
makuleto; spot
makulhava; spotty
makuli; taint, mar, blot, mark, besmirch, sully, spot, soil, stain
makulita; tainted
makulo; taint, blemish, semence, stain, mark, spot, blot
makzelo; jaw, jawbone
mala; opposite, contrary
malaboni; cancel
malabunda; scarce, few, sparse, in short supply, scarcity
malabunde; poorly
malabundeco; scarcity, lack
malabundo; shortage
malaerobia; anaerobic
malafabla; surly, harsh, sour, rough, gruff, unpleasant
malafable; discourteous, unkindly
malafableco; roughness
malagrabla; disagreeable, dreary, nasty, dismal, bleak, unpleasant
malagrafi; unclamp
malajo; Malay <g>pers</g>
malajzio; Malaysia
malakceli; decelerate, slow down, slow
malakceliĝi; slow
malakcepti; shun, reject, dismiss, spurn, overrule
malakcepto; dismissal, rejection
malakito; malachite
malakorda; strained
malakordi; conflict
malakordo; discrepancy, inconsistency, discord
malakra; blunt, dull
malakreco; dullness
malakrigi; dull, blunt
malakriĝi; dull
malaktiva; disabled, unchecked
malaktuala; obsolete
malakurata; irregular, delinquent
malakurateco; irregularity
malalta; low
malaltaĵo; depression
malalte; low
malaltigi; depress, lower, decrease, abase
malaltigo; abasement
malaltiĝi; sink
malaltiĝo; depression
malaltkreska; short
malaltmaro; low tide
malalto; low
malaltranga; lowly
malaltrangulo; junior
malaltvalora; inferior
malamegi; abhor
malami; hate
malamika; hostile
malamikeco; enmity, hostility, animosity
malamikigi; estrange
malamikiĝi; estrange
malamiko; foe, enemy
malaminda; nasty, odious
malamo; hatred, hate
malantaŭ; behind <g>{N A}</g>, after
malantaŭa; rather, rear, back
malantaŭaĵo; back, rear
malantaŭe; aft, behind, left
malantaŭen; backwards, aback
malantaŭeniri; retreat
malantaŭo; back
malaperi; disappear, vanish
malaperigi; eliminate, liquidate
malaperigo; elimination
malaperinta; extinct
malapero; extinction, disappearance
malaprobi; rebuke, disapprove, condemn, disapprove of
malaprobinda; blameworthy, condemnable, objectionable
malaprobo; condemnation, censure, disapproval, disapprobation
malaranĝi; scramble, put into disarray, disarrange
malario; malaria
malarmi; defuse
malasidua; truant, absent
malatentema; lax
malatenti; neglect
malatentigi; distract
malavantaĝa; disadvantageous, prejudicial, detrimental
malavantaĝe; disadvantageously, prejudicially, detrimentally
malavantaĝo; disadvantage, drawback
malavara; unstinting, lavish, generous
malavare; generously
malavio; Nyasaland, Malawi
malaŭo; NOR operator, antialternative, Peirce function, Nicod function
malbari; clear
malbela; ugly, nasty
malbelega; hideous, nasty, dreary, horrible, dismal
malbeligi; disfigure, deface
malbenado; cursing, swearing
malbeni; curse
malbenita; fucking
malbeno; curse
malblindigi; open somebodys eyes, open somebody's eyes, open somebody's eyes
malbloki; unblock, release
malbona; evil, mean, abuse, poor, nasty, bad <f>{komp worse} {sup worst}</f>, miserable
malbonaŭgura; foreboding, portentous, of ill omen, ominous
malbonaĵo; evil, abuse
malbone; badly, bad
malboneco; evil
malbonega; terrible
malbonege; terribly
malbonfama; notorious, ill-famed
malbonfarado; wrongdoing
malbonfaro; outrage
malbonfarto; malaise
malbonforma; malformatted
malbongusta; in bad taste, bad-tasting, disgusting
malbonhumora; pettish, peevish, petulant, cross, moody
malbonhumori; sulk
malbonigi; taint, spoil
malbonintenco; malice
malboniĝi; go bad, fail
malboniĝo; taint, corruption, depravation, decay, deterioration
malbonkonduta; naughty
malbonkvalita; inferior
malbono; evil
malbonodora; fetid, smelly
malbonodori; smell
malbonodoro; stink
malbonsigna; ominous
malbonsorta; doomed
malbonsorto; misfortune
malbonvola; malignant
malbonvolo; spite, malevolence
malbonŝanca; unlucky
malbonŝance; unfortunately
malbonŝanco; bad luck, misfortune
malbonŝanculo; loser
malbrila; matte
malbriligi; dull
malbrua; silent
malcedema; relentless, hawkish, adamant, obdurate, stubborn
malcedi; confront
malcentralizi; decentralise, decentralize, localise
malcerta; doubtful, uncertain
maldankemo; ingratitude
maldanĝera; harmless
maldaŭra; fleeting
maldaŭri; stop
maldaŭrigi; interrupt
maldeca; indecent
maldekstra; lefthand, left
maldekstraklaso; left coset
maldekstre; on the left, left, to the left
maldekstren; to the left, left
maldekstro; left
maldekstrula; leftist
maldekstrulo; leftist
maldelikata; crude, coarse, harsh, vulgar
maldelikate; roughly
maldelikateco; roughness
maldelikatulo; crude person, vulgar person
maldensa; thin <f>{komp thinner} {sup thinnest}</f>, rare
maldensejo; glade, clearing
maldensigi; thin out, thin
maldensiĝi; thin
maldetala; vague, general
maldiafana; opaque
maldika; slim, thin <f>{komp thinner} {sup thinnest}</f>, gaunt, slender, lean, tenuous
maldikaintesto; small intestine
maldikeco; staple
maldikega; meagre
maldiketa; tenuous
maldikiĝi; become thin, shrink, lose weight
maldikiĝo; shrinkage
maldiligenta; lazy
maldiligente; lazily
maldiligenteco; negligence, laziness
maldiligenti; idle, slack
maldiligento; laziness
maldiligentulo; lazy person
maldilui; concentrate
maldiskreta; intrusive, indiscreet, meddlesome
maldiskretaĵo; indiscretion
maldiskrete; indiscreet
maldiskreteco; indiscretion, meddlesomeness
maldistingi; confuse
maldolĉa; bitter
maldolĉe; bitterly
maldolĉeco; bitterness
maldolĉigi; sour
maldolĉiĝi; sour
maldorma; awake
maldormado; vigil
maldormi; to be awake
maldormigi; awaken
maldormo; wake
maldunga; severance
maldungi; discharge, fire, sack, dismiss
maldungiĝi; sack
maldungiĝo; firing
maldungo; sacking, layoff, discharge, paying off, dismissal
male; on the contrary, rather, instead, conversely
malebena; hilly, bumpy
malebenaĵo; bump
malebla; impossible
malebligi; inhibit, prevent, bar, preclude
malebria; sober
malebriiĝi; sober up
maledifa; disgusting
maledifi; scandalize
malegala; different
malegaleco; inequality, disparity
malegoisma; selfless
malegoismo; altruism
malekvilibra; unbalanced
malekvilibrigi; unbalance, destabilize
maleleganta; unflattering, frumpy, dowdy, earthy
malelegante; roughly
malelekti; untoggle
malembarasi; rid <f>{past rid} {perf rid}</f>
maleminentulo; nobody
malemo; unwillingness, distaste, aversion
maleo; mallet
maleolo; ankle
malesotera; exoteric
malespera; desperate
malespere; despairingly
malesperi; despair
malesperiga; hopeless
malesperigi; disappoint
malespero; despair
malesti; lack, non-existence
malestima; pejorative, disgusted, contemptuous, disdainful
malestimi; disdain, disrespect, hold in contempt, despise
malestiminda; abject, despicable
malestimo; scorn, contempt, disdain
malestiĝi; disappear
malestiĝo; disappearance
malesto; absence, non-existence
maleviti; face
malfacila; hard, inconvenient, difficult, challenging
malfacilaĵo; trouble, difficulty
malfacile; difficult, hardly, scarcely, hard, challenging, tough
malfacileco; difficulty, trouble
malfacileta; advanced
malfaciligi; thwart, hinder, hamper
malfaldi; spread out, unfold
malfalsa; authentic
malfalseco; authenticity
malfarhistorio; undo history
malfari; destroy, undo
malfaro; destruction, undo
malfavora; unfavourable, disinclined, adverse, inhospitable
malfavori; oppose
malfavoro; disfavour, opposition
malfekunda; infertile, arid
malfekundeco; infertility
malfeliĉa; inauspicious, unhappy, sad
malfeliĉaĵo; accident
malfeliĉe; unfortunately
malfeliĉeco; hardship
malfeliĉega; calamitous
malfeliĉego; catastrophe
malfeliĉi; sadden
malfeliĉiga; miserable
malfeliĉigi; sadden
malfeliĉo; misfortune, unhappiness
malfeliĉulo; unfortunate <g>pers</g>
malferma; open
malfermi; open, open up
malfermilo; opener
malfermita; enabled, open
malfermiteco; openness
malfermiĝi; open
malfermo; opening
malfervora; cool
malfervore; indifferently
malfervoro; coolness
malfidela; false, unfaithful
malfideleco; disloyalty
malfideliĝi; desert, become unfaithful, secede, apostatise
malfideliĝo; desertion
malfidelulo; renegade <g>pers</g>, deserter <g>pers</g>
malfidema; suspicious
malfidi; doubt, distrust
malfido; mistrust, distrust, suspicion
malfiera; modest
malfiksi; detach, unfasten, slacken
malfinia; infinite
malfinio; infinity
malfirma; loose, unstable, shaky, unsteady, precarious, yielding
malfirme; precariously
malfirmigi; loosen
malfluida; solid
malfluso; low tide, ebb tide
malfondi; dissolve
malfondiĝi; dissolve
malfondo; dissolution
malfono; foreground
malforta; weak, light, faint, feeble, frail
malfortatopologio; weak* topology, weak topology
malfortaĵo; weakness
malforte; poorly, lightly, weakly
malforteco; weakness, frailty
malfortekonverĝa; weakly convergent
malfortigi; weaken, enfeeble, enervate
malfortigo; weakening
malfortika; feeble
malfortikeco; vulnerability
malfortiĝi; abate, weaken, die
malforto; weakness
malfortulo; nerd
malfreŝa; stale
malfrivola; staid
malfronta; back
malfrostigi; melt
malfrua; delayed, tardy, slow, late
malfrue; late
malfruema; dilatory
malfrui; be late, be slow
malfruigi; delay, retard
malfruiĝi; delay, get, become late, get late, become late
malfruiĝinta; belated
malfruiĝo; delay, retardation
malfrunokte; late at night
malfruo; delay
malfunkcii; fail
malfunkciigi; turn off, switch off, shut off, stop, disable, idle
malfunkcio; downtime, crash
malgaja; grim, glum, sad, gaunt, sombre, dreary, dismal, bleak
malgaje; glumly
malgajeco; sadness, sorrow, grief
malgajni; lose
malgajno; loss
malglata; bumpy, coarse, rough
malglataĵo; irregularity
malglateco; roughness
malglora; ignominious, inglorious <g>{N A}</g>
malgloro; opprobrium
malglui; take
malgracia; gawky, clumsy, nerdy, ungainly, awkward
malgraciulo; nerd
malgranda; little, diminutive, small
malgrandalitero; small letter
malgrandanima; mean
malgrandaĉimpanzo; dwarf chimpanzee
malgrandega; tiny, minute
malgrandigi; diminish
malgrandioza; squalid
malgrandiĝi; diminish, wane, decline, decrease
malgrasa; gaunt, thin <f>{komp thinner} {sup thinnest}</f>
malgrava; unimportant, insignificant
malgravaĵo; trifle
malgravigi; dismiss
malgraŭ; despite, notwithstanding, in spite of <g>{N A}</g>
malgraŭvola; reluctant
malgraŭvole; unintentionally
malgrupigi; ungroup
malharmonia; discordant
malharmonio; discord
malhavebla; unavailable
malhavi; miss, be wanting, lack
malhaŭso; downturn
malhela; dim, black, dark, dismal, dreary, bleak
malhele; deep
malheleco; darkness
malheli; dim
malheligi; dim, darken
malheliĝi; darken
malhelo; darkness
malhelpa; preventive, hinder, unhelpful, prejudicial
malhelpado; prevention
malhelpaĵo; impediment, handicap, obstacle, obstruction
malhelpi; hamper, obstruct, preclude, hinder, inhibit, bar, prevent, thwart, stymie, hamstrung, avert, foil, handicap, impede, fetter
malhelpigo; prevention
malhelpo; prevention, obstacle, obstruction, handicap, impediment, impedance, hindrance
malhisi; lower
malhomo; monster
malhonesta; dishonest
malhonestaĵo; dishonesty
malhoneste; dishonourable
malhonesteco; dishonesty
malhonora; ignominious, dishonourable
malhonoraĵo; indignity
malhonore; dishonourable, shameful
malhonori; dishonour, disgrace
malhonoro; indignity, ignominy, disgrace, dishonour, shame
malhumana; inhuman, inhumane
malhumila; haughty, proud, arrogant
malhumileco; pride
malica; wanton, spiteful, malevolent, malicious, mischievous, nasty, vicious
malicaĵo; nastiness, malicious act
maliceta; ill-natured
malico; ill-will, malice, maliciousness
maliculo; malicious person
maligna; malignant, vicious
maligneco; malignancy
malimplici; unpack
malimpliki; disentangle, unravel, extract, take apart, untie
malinda; dishonourable, unworthy, vile
malinde; poorly
malindulga; rigid
malinfekti; disinfect
malinflacio; disinflation, deflation
malinklina; leery, averse, disinclined, reluctant
malinklinigi; deter
malinklino; prejudice, aversion
malinstali; deinstall
malinstalilo; uninstaller
malinstigi; deter, discourage
malinteligenta; stupid
malio; Mali
maljesi; say no
maljuna; old, venerable, elderly
maljungi; unharness, unyoke
maljuniĝi; age
maljuniĝo; aging
maljunulejo; old people's home
maljunulino; old woman <g>pers</g>, gammer
maljunulo; old man <g>pers</g>, senior
maljusta; wrongful, unfair, unjust
maljustaĵo; injustice
maljuste; unfairly, iniquitous
maljusteco; injustice
maljusto; injustice
malkajo; Sheffer stroke, NAND function, nonconjunction
malkapabla; incapable
malkapablo; inability
malkara; cheap, inexpensive
malkare; moderately
malkareco; cheapness
malkateni; unshackle, free, unchain, unfetter, release
malkava; prominent, elevated, convex, swollen
malkaŝa; overt, frank, explicit, above-board
malkaŝe; unashamedly, openly, frankly
malkaŝema; transparent, outspoken
malkaŝeme; freely
malkaŝemo; candor
malkaŝi; reveal, disclose
malkaŝiĝi; uncover
malkaŝiĝo; detection
malkaŝo; detection, disclosure
malkiel; unlike
malklara; muddy, clouded, blurry, obscure, indistinct
malklareco; turbidity
malklarigi; cloud, blur, obfuscate
malklariĝi; dim, fade, blur
malklera; uneducated, ignorant
malklereco; ignorance, lack of education
malklerulo; ignoramus
malkodado; decoding
malkodi; decode
malkombi; tousle, dishevel
malkombini; degrade
malkombiniĝi; degrade
malkomenti; uncomment
malkomforta; uncomfortable
malkomforto; discomfort
malkompakta; crumbly, loose, sandy
malkompaktigi; decompress
malkompaktigo; decompression
malkompata; harsh, incompassionate
malkompatema; implacable, hard-hearted, merciless, ruthless, hard, unfeeling, uncompassionate, pitiless, harsh
malkompatemo; harshness
malkomplika; straightforward
malkomponi; degrade
malkomponiĝi; degrade
malkompreni; mistake
malkompreno; mistake
malkoncentri; rarefy, disperse, thin <f>{komp thinner} {sup thinnest}</f>, dilute
malkoncerna; irrelevant
malkondamni; acquit, find not guilty, issue judgement for
malkondamno; acquittal
malkonekti; disconnect, cut a connection, cut
malkonektiĝi; close a connection, shut
malkonfesi; deny, abjure, repudiate, refuse, recant, disavow, disclaim
malkonfeso; repudiation, abjuration, refusal
malkonfidi; distrust
malkonfido; suspicion
malkonfirmi; deny, refute, contest
malkonfirmo; denial
malkonfuzi; unravel
malkonkorda; discordant
malkonkordo; dissension, discord
malkonsekvenca; inconsistent
malkonsenta; dissident
malkonsenti; balk, disagree
malkonsento; difference, dissent
malkonsili; dissuade from, advise against
malkonstruado; demolition
malkonstrui; take to pieces, pull down, take down, break down, demolish
malkonstruo; demolition
malkontenta; discontent, disgruntled, dissatisfied, unsatisfied, displeased, disaffected
malkontenteco; dissatisfaction
malkontentigi; displease, dissatisfy
malkontento; discontent
malkontentulo; malcontent
malkontinua; discontinuous
malkonvena; not fitting, unseemly
malkonvene; improperly
malkonverĝa; divergent
malkonverĝi; diverge
malkorki; uncork
malkovri; expose, uncover, discover, strip
malkovriĝi; discover
malkovro; discovery, exposure
malkredi; disbelieve
malkredo; disbelief
malkreski; dwindle, ebb, wane, decrease, abate, diminish
malkreskigo; increase
malkresko; decrease, diminution, abatement, wane
malkroĉi; unmount, detach
malkroĉkomando; unmount command
malkune; separately
malkuniĝi; estrange
malkuraĝa; spineless, afraid, cowardly
malkuraĝeco; cowardice
malkuraĝiĝi; be discouraged
malkuraĝo; cowardice
malkuraĝulo; coward <g>pers</g>
malkvieta; excited, noisy, restless
malkviete; roughly, blustery
malkvieteco; unrest
malkvietigi; disturb
malkvietiĝi; arouse
malkvietiĝo; agitation
mallabora; idle, suspend
mallaborema; slothful
mallaboreme; lazily
mallaciĝi; rest
mallakso; constipation
mallarĝa; narrow
mallarĝe; narrowly, closely
mallarĝigi; narrow
mallarĝiĝi; taper
mallaŭdi; decry, excoriate, stigmatise, blame, condemn, slate, pan, deplore, reprove, reproach, scold, rebuke, denounce
mallaŭdinda; deplorable, culpable, blameworthy
mallaŭdo; vituperation, stigmatisation, attack, observation, remark, reproof
mallaŭta; quiet, soft
mallaŭte; softly
mallaŭtiĝi; fade
mallerni; unlearn
mallerta; awkward, amateurish, clumsy
mallertaĵo; blunder
mallerte; poorly
mallerteco; ineptitude, clumsiness
mallevi; drop, lower
malleviĝi; go down, descend, fall
malleviĝo; fall
mallibera; confined, bound
mallibereco; restriction
malliberejo; gaol, prison, jail
malliberigi; incarcerate, jail, imprison
malliberigo; imprisonment
malliberiĝo; captivity, prison
malliberulo; setscrew, prisoner <g>pers</g>
malligi; untie, undo
malligiĝi; undo
malloga; repellent, repelling, repulsive, disgusting
mallogi; deter, repel
mallojala; illoyal, disloyal
mallojaleco; disloyalty
malloka; global
mallokareto; WAN, wide area computer network
mallonga; short, brief
mallongdaŭra; short-lived
mallonge; shortly, in a nutshell
mallongeco; shortness
mallongigi; curtail, abridge, abbreviate, shorten
mallongigitacikloido; curtate cycloid
mallongigitaepicikloido; curtate epicycloid
mallongigitahipocikloido; curtate hypocycloid
mallongigo; abbreviation, abreviation
malluksa; austere, frugal, spartan, humble
malluma; dim, dark
mallumeco; darkness
mallumigi; darken
mallumiĝi; darken, get <g> dark</g>
mallumo; dark, murk, darkness
malmendi; countermand, cancel, cancel an order
malmendo; cancellation
malmergiĝi; surface
malmilda; severe, bleak, hard, stringent, harsh
malmilde; severely
malmildeco; cruelty
malmiopa; long-sighted, far-sighted
malmobilizi; demobilize
malmodera; immoderate, excessive
malmodere; excessively
malmoderna; backward, old-fashioned, antiquated, out-of-date, obsolete
malmodesta; pretentious, arrogant
malmodesteco; arrogance, high-handedness, presumption, pretence, vanity, conceit
malmola; hard
malmoleco; hardness
malmoligi; harden
malmoliĝi; harden
malmolnuka; obstinate, mulish, stubborn, intransigent, stiff-necked
malmorala; nasty, abandoned, immoral
malmoralaĵo; vice
malmorale; with abandon, immorally
malmoraleco; vice, immorality
malmulta; little <f>{komp less} {sup least}</f>
malmulte; little
malmulteco; lack
malmultekosta; inexpensive, cheap
malmultiĝi; dwindle
malmunti; dismantle, disassemble, strip, take apart
malnaiva; sophisticated
malnatura; artificial
malneta; draft <g>{N A}</g>, gross
malnetaĵo; draft
malnete; roughly
malneto; draft, rough draft, first draft
malnobla; nasty, vile, abject, low, base, ignoble
malnoble; sordid
malnobleco; abjection
malnobliga; demeaning
malnobligi; degrade
malnoblulo; scoundrel, knave, scurvy dog
malnodi; undo, untie
malnova; venerable, old
malnovatestamento; Old Testament
malnoviĝi; age, become old
malnoviĝo; aging
malnovmoda; old-fashioned
malnovteksto; oldtext
malo; antithesis
malobeemo; insubordination
malobei; transgress, flout, defy, disobey
malobeo; disobedience, transgression
malobservi; contravene, violate, disregard, ignore
malobservo; offence, infringement, violation
malofta; infrequent, rare
maloftaĵo; rarity
malofte; infrequently, rarely, seldom
malokazigi; cancel
malokupi; evacuate
maloportuna; awkward, inopportune, unsuited, inconvenient, unwieldy, cumbersome
maloportunaĵo; disadvantage, flaw, inconvenience
maloportune; out of position, out of turn, out of place
maloportuneco; clumsiness
maloportuni; inconvenience, disturb
maloportuno; annoyance
malorda; cluttered, chaotic
malordema; chaotic
malordigi; clutter, throw into disorder, upset, disarrange, mess up
malordigo; disruption
malordo; clutter, mess, disorder, confusion
malorganizi; unorganize, unorganise
malpaca; discordant
malpacado; rowing
malpacema; belligerent
malpaci; quarrel
malpacienca; restless, impatient
malpacience; impatiently
malpacienco; restlessness, impatience
malpaciĝi; row, get in a quarrel
malpaciĝo; fuss
malpaco; conflict, quarrel, acrimony
malpaki; unpack
malpala; deep
malpara; odd
malpardonema; resentful
malparolema; silent
malperfekta; imperfect
malpermesi; ban, forbid <f>{past forbade} {perf forbidden}</f>, prohibit, proscribe, disallow
malpermesite; prohibited
malpermeso; proscription, ban, prohibition
malpeza; lightweight, light
malpeze; lightly
malpezigi; lighten, ease
malpia; profane
malpie; godless, irreligious, profane, impious
malplaĉa; nasty
malplaĉega; nasty
malplaĉegi; disgust
malplej; fewest, least
malpleje; at least
malplekti; take apart, unbraid
malplena; empty, void, blank, bare
malplenaaro; empty set
malplenaĵo; blank
malpleneco; emptiness
malplenigi; empty
malpleniĝi; empty
malpleno; emptiness, void
malplenumi; neglect
malplenumo; failure
malplezuro; displeasure
malpli; fewer, less, least
malplia; lesser
malplialtigi; lower, decrease
malplialtiĝi; go down
malpliboniĝi; decline, go back, fall off
malplifortigi; dilute
malplifortiĝi; abate, settle
malpligravigi; ease
malpliigi; reduce, abate, decrease, lessen, detract
malpliigo; decrease, curtailment, retrenchment
malpliiĝi; decline, abate, decrease, fall <f>{past fell} {perf fallen}</f>, drop, diminish
malpliiĝo; decline, abatement
malplilongigi; shorten, abbreviate, abridge, curtail
malplimulta; minority
malplimulto; minority
malpolurita; frosted
malprava; illegitimate, unsound, false, wrong
malprave; wrong
malpraveco; flaw
malpravi; wrong, be wrong
malpravigi; condemn
malpreciza; imprecise, fuzzy
malpreferi; subordinate
malprefero; neglect, slighting
malpremi; release
malpreni; drop
malprofito; loss
malprofunda; shallow, superficial
malprogresi; decline, recede
malprogreso; decline
malproksima; far <f>{komp further} {sup furthest}</f>, distant, remote
malproksime; far away, remotely, at a distance, afar
malproksimeco; distance
malproksimigi; distance
malproksimiĝi; blow over
malpropra; foreign, other people's, another man's
malprospera; fruitless
malprosperi; fail, decline, recede
malprospero; decay, hardship
malprotesto; resignation, submission, acquiescence
malpruda; unabashed, ribald, lewd
malprudenta; irresponsible, misguided
malprudente; irresponsibly, foolishly
malprudenteco; irresponsibility
malprudentulo; fool
malpruvi; disprove, belie
malpublika; private
malpudora; salty
malpura; impure, squalid, gross, filthy, dirty, nasty, soiled, unclean
malpuraĵo; impurity, filth, dirt
malpure; unsanitary
malpureco; squalor, dirt, untidiness, dirtiness
malpurega; nasty
malpurigi; soil, pollute, dirty, defile
malpurigo; pollution
malpuriĝi; pollute, get dirty
malpuriĝo; pollution
malracia; irrational
malracieco; irrationality
malrapida; slow
malrapide; slowly <g>midpos</g>, leisurely
malrapideco; slowness
malrapidega; sluggish
malrapidema; tardy
malrapideme; deliberately
malrapidi; loiter
malrapidigi; slow
malrapidiĝi; slow
malrefi; loose
malrefleksiva; antireflexive
malregula; irregular
malrekomendi; discourage
malrekomendo; discouragement
malrekta; oblique, curved, indirect
malrekte; obliquely
malrektigi; twist
malrektiĝi; twist
malrespekta; insolent
malrespekte; forward
malrespekti; despise, infringe
malrespekto; impertinence, disrespect
malrigida; floppy, flaccid, limp
malriĉa; impoverished, miserable, poor
malriĉe; poorly
malriĉeco; poverty
malriĉigi; impoverish
malriĉigo; impoverishment
malriĉiĝi; impoverish
malriĉiĝo; impoverishment
malriĉulejo; workhouse, almshouse, almonry
malriĉulo; pauper <g>pers</g>, poor man <g>pers</g>
malsama; different
malsame; differently
malsameco; difference
malsami; differ
malsamopinii; differ
malsamseksema; heterosexual
malsana; unhealthy, ill, sick
malsanaĵo; lesion
malsane; ill
malsaneco; morbidity
malsanema; sickly, ailing, weak
malsaneta; upset, not well
malsaneto; indisposition
malsani; ail, be ailing
malsaniga; pathogenic, causing illness, adverse
malsaniĝema; vulnerable, susceptible
malsaniĝi; sicken, fall ill
malsaniĝo; case
malsanktigi; defile
malsano; ailment, sickness, illness, disease, desease
malsanulejo; hospital
malsanulo; patient <g>pers</g>, invalid
malsata; hungry
malsatego; famine
malsati; be <g> hungry</g>, be hungry, starve
malsatigi; starve
malsato; starvation, hunger <g>abst</g>
malsaĝa; foolish
malsaĝaĵo; foolishness
malsaĝe; foolishly
malsaĝeco; folly, foolishness
malsaĝulo; fool <g>pers</g>
malscio; ignorance
malseka; wet
malsekaĵo; damp
malsekeca; humid
malsekeco; damp, moisture
malseketa; damp, moist, humid
malsekiĝi; get wet
malsekretigi; reveal, declassify
malsekureco; danger
malsentimentala; dry
malserena; grim, stormy, agitated, dismal, dreary
malsereneco; gloom
malserenigi; disturb
malserioza; frivolous, silly
malserioze; lightly
malsevera; mild, lenient, mild-mannered, indulgent
malsevere; mildly
malsevereco; leniency
malsimetria; dissymmetric, asymmetrical, asymmetric, antisymmetric
malsimila; different, dissimilar
malsimpatia; prejudiced, obnoxious, insensitive, nasty
malsimpatii; antipathize
malsimpatio; antipathy
malsimpla; complex, complicated, elaborate
malsincera; deceitful, underhanded
malsincere; hypocritical
malsobra; drunk
malsocietema; antisocial, reclusive
malsolida; flimsy, weak
malsovaĝa; tame
malsovaĝigi; tame
malsperta; inexperienced
malsprita; stupid, dull, uninspired, slow-witted, witless
malspriteco; dullness
malspritigi; dull
malspritulo; fool, blockhead, slow-witted person, dullard, stupid person
malstabila; unstable
malstabileco; instability
malstabiligi; destabilize
malstarigi; dissolve
malstreĉa; loose, slack
malstreĉi; loose, loosen, relax, slacken
malstreĉiĝi; slacken, relax
malstreĉiĝo; relaxation
malstreĉo; dtente, loosening
malstrikta; lax, loose
malsubteni; defect
malsubtila; blunt
malsufiĉa; insufficient
malsukcesa; abortive, foiled, failed
malsukcesi; flop, abort, fail
malsukcesigi; abort, quash, frustrate
malsukceso; failure, flop, abortion
malsupera; inferior, junior
malsupereco; inferiority
malsupra; bottom
malsuprasaksujo; Lower Saxony
malsupre; below, underneath, downstairs
malsupren; down
malsupreniri; descend, get off, go down
malsupreniro; descent
malsupreniĝi; fall
malsupreniĝo; descent
malsuprentiri; lower
malsupro; bottom
malta; Maltese
maltano; Maltese
maltaŭga; unsuited
malte; in Maltese
malteni; release
maltima; daring, fearless
maltimego; audacity
maltimema; bold
maltimi; dare
maltimida; blatant
malto; Malta, malt
maltoleremo; bigotry, intolerance
maltrafi; miss
maltrankvila; anxious, fearful, edgy, uneasy, unsettled, unnerved, worried, jittery, nervous
maltrankvile; roughly, anxiously
maltrankvileco; nerve, nervousness
maltrankvili; worry
maltrankviliga; uncomfortable, grave, anxious, serious, worrisome, disquieting
maltrankvilige; disturbing, unnerving, perturbing
maltrankviligi; unnerve, unsettle, oppress, perturb
maltrankviliĝi; perturb, fret
maltrankviliĝo; upset
maltrankvilo; trepidation, unease, uneasiness, anxiety
maltroigo; understatement
malutila; harmful, deleterious, counterproductive, detrimental
malutile; hurtful, disadvantageously, detrimentally, prejudicially
malutilega; pernicious
malutili; harm
malutilo; harm, minus, detriment, damage
malutopio; dystopia
malvalida; void, invalid
malvarma; bleak, chilly, cold
malvarmeco; chill, coolness
malvarmeta; cool
malvarmetigi; cool
malvarmetiĝi; cool
malvarmeto; cool, freshness
malvarmigi; chill, cool, cool off
malvarmigo; cooling
malvarmiĝi; cool off, cool
malvarmiĝo; chill
malvarmo; cold
malvarmsanga; cold-blooded
malvarmsango; equanimity, presence of mind, sang-froid, composure
malvarmumo; cold
malvasta; small, close, cramped, confined
malvaste; tightly
malvasteco; narrowness
malvastigi; constrict
malvastiĝi; contract
malvastiĝo; contraction
malvenki; be defeated, lose <f>{past lost} {perf lost}</f>
malvenkinto; loser
malvenko; defeat
malvera; untrue, false
malveraĵo; untruth, fabrication
malvere; falsely
malverema; deceitful
malvero; untruth, lie
malversacio; misappropriation, embezzlement
malvesti; undress
malvidigi; hide
malvigla; mundane, sluggish, indolent, slack, lacklustre
malvigle; flatly
malvigleco; malaise
malvigligi; dull
malvigliĝi; flag
malvirta; wicked, vicious
malvirteco; perversity
malvirtigi; pervert
malvirto; evil, vice
malvirtulo; evil-doer <g>pers</g>
malviva; dead, lifeless
malvo; mallow
malvola; constrained, grudging, forced, hesitant
malvole; reluctantly
malvoli; hesitate
malvolo; unwillingness, disinclination, reluctance
malvolonte; unwillingly
malvolvado; unwinding
malvolvi; develop, unroll, undo
malvolviĝi; undo
malzipi; unzip
malzorga; thoughtless, remiss, careless, negligent, neglectful
malzorge; carelessly
malzorgeco; negligence, remissness, carelessness
malzorgema; reckless, negligent
malzorgemo; recklessness, negligence
malzorgi; neglect
malŝalti; turn off, switch off, stop, shut off, turn
malŝalto; shutoff
malŝarĝi; unload
malŝata; pejorative, supercilious, distasteful, scornful
malŝatanto; detractor
malŝate; lightly
malŝateco; indifference
malŝatema; pejorative
malŝati; disregard, hate, dislike, scorn
malŝatinda; insignificant
malŝato; dislike, disdain
malŝerce; seriously
malŝirmi; expose
malŝlosi; unlock
malŝparema; extravagant, wasteful
malŝparemulo; waster, spendthrift
malŝpari; lavish, dissipate, waste
